event_id,stations,network_time,ref_time,ref_duration,ref_amplitude,ref_energy,signal_type
20101214T014042Z,"['2C.BB03.', '2C.BB10.', '2C.BB12.']",5.86594680276,2010-12-14T01:40:42.762974Z,2.545,391.639667542,110569.455817,amplitude
20101214T125006Z,"['2C.BB08.', '2C.BB13.', '2C.BB16.', '2C.BB12.', '2C.BB01.', '2C.BB17.', '2C.BB11.', '2C.BB15.', '2C.BB07.', '2C.BB06.', '2C.BB10.', '2C.BB03.', '2C.BB14.', '2C.BB04.']",5.86594680276,2010-12-14T12:50:06.742027Z,174.215947,97296.5472271,446185145898.0,amplitude
20101215T012640Z,"['2C.BB14.', '2C.BB01.', '2C.BB13.']",5.86594680276,2010-12-15T01:26:40.642027Z,7.325947,597.996261796,689167.858623,amplitude
20101215T022914Z,"['2C.BB12.', '2C.BB03.', '2C.BB08.']",5.86594680276,2010-12-15T02:29:14.967027Z,5.410947,633.654922748,615092.630686,amplitude
20101215T114128Z,"['2C.BB10.', '2C.BB01.', '2C.BB07.']",5.86594680276,2010-12-15T11:41:28.807027Z,7.035947,1275.5691317,2370976.76555,amplitude
20101215T115125Z,"['2C.BB12.', '2C.BB10.', '2C.BB01.', '2C.BB07.', '2C.BB13.']",5.86594680276,2010-12-15T11:51:25.857027Z,75.615946,2745.82978584,99740141.2966,amplitude
20101215T125812Z,"['2C.BB06.', '2C.BB07.', '2C.BB10.']",5.86594680276,2010-12-15T12:58:12.477026Z,2.140947,790.957403823,314920.833054,amplitude
20101215T133724Z,"['2C.BB01.', '2C.BB08.', '2C.BB12.', '2C.BB13.', '2C.BB16.', '2C.BB15.', '2C.BB11.', '2C.BB17.', '2C.BB07.', '2C.BB03.', '2C.BB06.', '2C.BB14.', '2C.BB10.', '2C.BB04.']",5.86594680276,2010-12-15T13:37:24.502027Z,180.555946,182353.524296,1.31740260124e+12,amplitude
20101215T134517Z,"['2C.BB10.', '2C.BB04.', '2C.BB14.']",5.86594680276,2010-12-15T13:45:17.282027Z,15.935946,13177.4961389,784673532.21,amplitude
20101215T161239Z,"['2C.BB07.', '2C.BB12.', '2C.BB10.']",5.86594680276,2010-12-15T16:12:39.682027Z,7.815947,933.377190671,2546799.35251,amplitude
20101215T174315Z,"['2C.BB07.', '2C.BB13.', '2C.BB12.']",5.86594680276,2010-12-15T17:43:15.037026Z,0.525947,205.044593167,6521.33919003,amplitude
20101215T175909Z,"['2C.BB07.', '2C.BB12.', '2C.BB16.']",5.86594680276,2010-12-15T17:59:09.942973Z,28.52,1067.68851899,11489178.3741,amplitude
20101215T180633Z,"['2C.BB07.', '2C.BB16.', '2C.BB13.']",5.86594680276,2010-12-15T18:06:33.127973Z,51.085,1250.33308088,18563836.4455,amplitude
20101215T182938Z,"['2C.BB12.', '2C.BB07.', '2C.BB17.']",5.86594680276,2010-12-15T18:29:38.772026Z,2.965947,757.303485077,569507.709541,amplitude
20101215T185217Z,"['2C.BB13.', '2C.BB10.', '2C.BB12.', '2C.BB07.']",5.86594680276,2010-12-15T18:52:17.987973Z,11.0,858.368294877,3693454.00126,amplitude
20101215T185949Z,"['2C.BB07.', '2C.BB12.', '2C.BB13.']",5.86594680276,2010-12-15T18:59:49.602974Z,1.415,517.308311948,119112.358973,amplitude
20101215T190903Z,"['2C.BB12.', '2C.BB17.', '2C.BB13.']",5.86594680276,2010-12-15T19:09:03.607027Z,5.125947,768.687827886,1620363.11515,amplitude
20101215T191555Z,"['2C.BB07.', '2C.BB13.', '2C.BB12.']",5.86594680276,2010-12-15T19:15:55.472973Z,5.645,932.340582925,2145603.11191,amplitude
