event_id,stations,ref_time,ref_duration,ref_amplitude,known_seismicity_labels
20101214T003519Z,"['2C.BB06.', '2C.BB12.', '2C.BB08.']",2010-12-14T00:35:19.747027Z,14.675946,597.6462555,
20101214T011140Z,"['2C.BB08.', '2C.BB12.', '2C.BB07.']",2010-12-14T01:11:40.022973Z,1.79,289.8216496,
20101214T014041Z,"['2C.BB12.', '2C.BB03.', '2C.BB10.']",2010-12-14T01:40:41.352026Z,24.295947,613.3282846,
20101214T014729Z,"['2C.BB10.', '2C.BB03.', '2C.BB12.']",2010-12-14T01:47:29.397027Z,2.110947,471.0341694,
20101214T020543Z,"['2C.BB12.', '2C.BB10.', '2C.BB08.', '2C.BB14.']",2010-12-14T02:05:43.402974Z,87.865,1309.973157,
20101214T020933Z,"['2C.BB14.', '2C.BB12.', '2C.BB10.']",2010-12-14T02:09:33.927973Z,52.765,604.3897082,
20101214T025140Z,"['2C.BB03.', '2C.BB12.', '2C.BB07.', '2C.BB10.']",2010-12-14T02:51:40.547973Z,97.005,879.4704911,
20101214T033901Z,"['2C.BB10.', '2C.BB07.', '2C.BB12.']",2010-12-14T03:39:01.282027Z,86.965947,743.859141,
20101214T043854Z,"['2C.BB07.', '2C.BB10.', '2C.BB08.']",2010-12-14T04:38:54.362027Z,1.490947,319.8042682,
20101214T055847Z,"['2C.BB07.', '2C.BB13.', '2C.BB08.']",2010-12-14T05:58:47.157027Z,5.585947,507.2552719,
20101214T060906Z,"['2C.BB11.', '2C.BB07.', '2C.BB13.', '2C.BB01.']",2010-12-14T06:09:06.942027Z,344.855947,1327.8344,
20101214T091159Z,"['2C.BB08.', '2C.BB01.', '2C.BB13.', '2C.BB07.', '2C.BB10.']",2010-12-14T09:11:59.222027Z,2553.310947,12208.99766,
20101214T124825Z,"['2C.BB13.', '2C.BB01.', '2C.BB07.', '2C.BB08.', '2C.BB16.', '2C.BB12.', '2C.BB17.', '2C.BB11.', '2C.BB15.', '2C.BB06.', '2C.BB10.', '2C.BB03.', '2C.BB14.', '2C.BB04.']",2010-12-14T12:48:25.482027Z,298.860947,97422.05266,"STICK-SLIP, PRATT14"
20101214T203741Z,"['2C.BB15.', '2C.BB17.', '2C.BB10.']",2010-12-14T20:37:41.697027Z,52.935947,1099.159261,
20101214T204853Z,"['2C.BB17.', '2C.BB15.', '2C.BB10.']",2010-12-14T20:48:53.412973Z,50.17,1088.12701,
20101214T221320Z,"['2C.BB15.', '2C.BB10.', '2C.BB16.']",2010-12-14T22:13:20.002027Z,1.085947,187.5750304,
20101214T234318Z,"['2C.BB15.', '2C.BB01.', '2C.BB10.']",2010-12-14T23:43:18.482974Z,1.25,294.3707249,
20101215T003318Z,"['2C.BB06.', '2C.BB14.', '2C.BB13.', '2C.BB08.', '2C.BB10.', '2C.BB07.', '2C.BB11.', '2C.BB01.', '2C.BB16.']",2010-12-15T00:33:18.547027Z,2005.080947,5987.18743,
20101215T011127Z,"['2C.BB01.', '2C.BB10.', '2C.BB13.']",2010-12-15T01:11:27.327973Z,5.645,475.5674626,
20101215T011305Z,"['2C.BB10.', '2C.BB15.', '2C.BB08.']",2010-12-15T01:13:05.957026Z,79.610947,1156.538854,
20101215T011607Z,"['2C.BB01.', '2C.BB13.', '2C.BB12.']",2010-12-15T01:16:07.422027Z,6.665947,610.9509631,
20101215T012645Z,"['2C.BB14.', '2C.BB01.', '2C.BB10.', '2C.BB13.']",2010-12-15T01:26:45.782027Z,50.465947,1856.509347,
20101215T012937Z,"['2C.BB10.', '2C.BB01.', '2C.BB13.']",2010-12-15T01:29:37.487973Z,1.865,446.1206616,
20101215T014537Z,"['2C.BB15.', '2C.BB08.', '2C.BB13.', '2C.BB03.', '2C.BB12.', '2C.BB14.']",2010-12-15T01:45:37.622027Z,741.120947,6116.333616,
20101215T020238Z,"['2C.BB15.', '2C.BB14.', '2C.BB12.', '2C.BB13.', '2C.BB06.', '2C.BB08.', '2C.BB10.', '2C.BB03.']",2010-12-15T02:02:38.887027Z,1727.005947,13272.40576,"STICK-SLIP, PRATT14 ADDITIONAL"
20101215T025617Z,"['2C.BB14.', '2C.BB07.', '2C.BB12.', '2C.BB16.', '2C.BB13.']",2010-12-15T02:56:17.697027Z,75.280947,1680.197171,
20101215T030556Z,"['2C.BB16.', '2C.BB10.', '2C.BB12.']",2010-12-15T03:05:56.612973Z,2.19,441.4694505,
20101215T032633Z,"['2C.BB13.', '2C.BB10.', '2C.BB14.', '2C.BB12.', '2C.BB16.', '2C.BB01.']",2010-12-15T03:26:33.997026Z,584.155947,3044.2078,
20101215T035029Z,"['2C.BB10.', '2C.BB06.', '2C.BB12.', '2C.BB01.', '2C.BB13.', '2C.BB16.', '2C.BB15.', '2C.BB08.', '2C.BB03.']",2010-12-15T03:50:29.827027Z,2369.800947,9843.679502,
20101215T045023Z,"['2C.BB17.', '2C.BB15.', '2C.BB08.', '2C.BB16.']",2010-12-15T04:50:23.647973Z,57.16,1215.141886,
20101215T060530Z,"['2C.BB03.', '2C.BB17.', '2C.BB08.']",2010-12-15T06:05:30.167973Z,1.38,288.594803,
