event_id,stations,network_time,ref_time,ref_duration,ref_amplitude,ref_energy,signal_type
20101214T003519Z,"['2C.BB06.', '2C.BB12.', '2C.BB08.']",5.86594680276,2010-12-14T00:35:19.747027Z,14.675946,597.646255513,1610832.0922,amplitude
20101214T011140Z,"['2C.BB08.', '2C.BB12.', '2C.BB07.']",5.86594680276,2010-12-14T01:11:40.022973Z,1.79,289.821649592,43414.3417456,amplitude
20101214T014041Z,"['2C.BB12.', '2C.BB03.', '2C.BB10.']",5.86594680276,2010-12-14T01:40:41.352026Z,24.295947,613.328284608,2542976.49609,amplitude
20101214T014729Z,"['2C.BB10.', '2C.BB03.', '2C.BB12.']",5.86594680276,2010-12-14T01:47:29.397027Z,2.110947,471.034169404,130650.791242,amplitude
20101214T020543Z,"['2C.BB12.', '2C.BB10.', '2C.BB08.', '2C.BB14.']",5.86594680276,2010-12-14T02:05:43.402974Z,87.865,1309.97315681,42859945.0284,amplitude
20101214T020933Z,"['2C.BB14.', '2C.BB12.', '2C.BB10.']",5.86594680276,2010-12-14T02:09:33.927973Z,52.765,604.389708224,5297471.14269,amplitude
20101214T025140Z,"['2C.BB03.', '2C.BB12.', '2C.BB07.', '2C.BB10.']",5.86594680276,2010-12-14T02:51:40.547973Z,97.005,879.47049113,17673510.0078,amplitude
20101214T033901Z,"['2C.BB10.', '2C.BB07.', '2C.BB12.']",5.86594680276,2010-12-14T03:39:01.282027Z,86.965947,743.859141017,10021200.7866,amplitude
20101214T043854Z,"['2C.BB07.', '2C.BB10.', '2C.BB08.']",5.86594680276,2010-12-14T04:38:54.362027Z,1.490947,319.804268241,45551.9774611,amplitude
20101214T055847Z,"['2C.BB07.', '2C.BB13.', '2C.BB08.']",5.86594680276,2010-12-14T05:58:47.157027Z,5.585947,507.255271906,616874.361516,amplitude
20101214T060906Z,"['2C.BB11.', '2C.BB07.', '2C.BB13.', '2C.BB01.']",5.86594680276,2010-12-14T06:09:06.942027Z,344.855947,1327.8343996,59253122.0616,amplitude
20101214T091159Z,"['2C.BB08.', '2C.BB01.', '2C.BB13.', '2C.BB07.', '2C.BB10.']",5.86594680276,2010-12-14T09:11:59.222027Z,2553.310947,12208.9976601,363696184356.0,amplitude
20101214T124825Z,"['2C.BB13.', '2C.BB01.', '2C.BB07.', '2C.BB08.', '2C.BB16.', '2C.BB12.', '2C.BB17.', '2C.BB11.', '2C.BB15.', '2C.BB06.', '2C.BB10.', '2C.BB03.', '2C.BB14.', '2C.BB04.']",5.86594680276,2010-12-14T12:48:25.482027Z,298.860947,97422.0526635,462118076985.0,amplitude
20101214T203741Z,"['2C.BB15.', '2C.BB17.', '2C.BB10.']",5.86594680276,2010-12-14T20:37:41.697027Z,52.935947,1099.15926107,17141118.0099,amplitude
20101214T204853Z,"['2C.BB17.', '2C.BB15.', '2C.BB10.']",5.86594680276,2010-12-14T20:48:53.412973Z,50.17,1088.12700996,23843701.9146,amplitude
20101214T221320Z,"['2C.BB15.', '2C.BB10.', '2C.BB16.']",5.86594680276,2010-12-14T22:13:20.002027Z,1.085947,187.575030389,9902.26273973,amplitude
20101214T234318Z,"['2C.BB15.', '2C.BB01.', '2C.BB10.']",5.86594680276,2010-12-14T23:43:18.482974Z,1.25,294.370724936,30024.3622311,amplitude
20101215T003318Z,"['2C.BB06.', '2C.BB14.', '2C.BB13.', '2C.BB08.', '2C.BB10.', '2C.BB07.', '2C.BB11.', '2C.BB01.', '2C.BB16.']",5.86594680276,2010-12-15T00:33:18.547027Z,2005.080947,5987.18743001,10426647452.1,amplitude
20101215T011127Z,"['2C.BB01.', '2C.BB10.', '2C.BB13.']",5.86594680276,2010-12-15T01:11:27.327973Z,5.645,475.567462566,347005.755938,amplitude
20101215T011305Z,"['2C.BB10.', '2C.BB15.', '2C.BB08.']",5.86594680276,2010-12-15T01:13:05.957026Z,79.610947,1156.53885412,22805026.5915,amplitude
20101215T011607Z,"['2C.BB01.', '2C.BB13.', '2C.BB12.']",5.86594680276,2010-12-15T01:16:07.422027Z,6.665947,610.950963091,616415.482417,amplitude
20101215T012645Z,"['2C.BB14.', '2C.BB01.', '2C.BB10.', '2C.BB13.']",5.86594680276,2010-12-15T01:26:45.782027Z,50.465947,1856.50934674,65585616.1969,amplitude
20101215T012937Z,"['2C.BB10.', '2C.BB01.', '2C.BB13.']",5.86594680276,2010-12-15T01:29:37.487973Z,1.865,446.120661552,73864.7690686,amplitude
20101215T014537Z,"['2C.BB15.', '2C.BB08.', '2C.BB13.', '2C.BB03.', '2C.BB12.', '2C.BB14.']",5.86594680276,2010-12-15T01:45:37.622027Z,741.120947,6116.33361571,3279152068.87,amplitude
