event_id,stations,network_time,ref_time,ref_duration,ref_amplitude,ref_energy,signal_type
20101214T003519Z,"['2C.BB06.', '2C.BB12.', '2C.BB08.']",5.86594680276,2010-12-14T00:35:19.757026Z,14.675947,597.853255754,1609187.91687,amplitude
20101214T020553Z,"['2C.BB12.', '2C.BB08.', '2C.BB14.']",5.86594680276,2010-12-14T02:05:53.057027Z,27.145947,948.271242281,6122348.70121,amplitude
20101214T022049Z,"['2C.BB14.', '2C.BB12.', '2C.BB10.']",5.86594680276,2010-12-14T02:20:49.872026Z,25.300947,590.996699765,2471386.13816,amplitude
20101214T033907Z,"['2C.BB03.', '2C.BB10.', '2C.BB12.', '2C.BB08.', '2C.BB17.', '2C.BB07.']",5.86594680276,2010-12-14T03:39:07.152973Z,5008.065,11327.7756688,466846301812.0,amplitude
20101214T091159Z,"['2C.BB08.', '2C.BB01.', '2C.BB13.', '2C.BB07.', '2C.BB10.']",5.86594680276,2010-12-14T09:11:59.227027Z,2553.310947,12208.9974033,363696168067.0,amplitude
20101214T124825Z,"['2C.BB13.', '2C.BB01.', '2C.BB07.', '2C.BB08.', '2C.BB16.', '2C.BB12.', '2C.BB17.', '2C.BB11.', '2C.BB15.', '2C.BB10.', '2C.BB06.', '2C.BB03.', '2C.BB04.', '2C.BB14.']",5.86594680276,2010-12-14T12:48:25.487027Z,298.860947,97422.0811014,462118321501.0,amplitude
20101214T204900Z,"['2C.BB17.', '2C.BB15.', '2C.BB10.']",5.86594680276,2010-12-14T20:49:00.392027Z,43.195947,993.685687233,18206840.8813,amplitude
20101215T003323Z,"['2C.BB06.', '2C.BB14.', '2C.BB08.', '2C.BB13.', '2C.BB10.', '2C.BB07.', '2C.BB11.', '2C.BB01.', '2C.BB16.']",5.86594680276,2010-12-15T00:33:23.237026Z,2000.395947,5992.57181385,10348047686.2,amplitude
20101215T011127Z,"['2C.BB01.', '2C.BB10.', '2C.BB13.']",5.86594680276,2010-12-15T01:11:27.332973Z,5.65,475.66078304,347362.645603,amplitude
20101215T011305Z,"['2C.BB10.', '2C.BB15.', '2C.BB08.']",5.86594680276,2010-12-15T01:13:05.962027Z,79.610947,1156.52207808,22805501.3272,amplitude
