event_id,station,components,time,duration,amplitude,energy,signal_type
20101214T060906Z,2C.BB01.,"['HHZ', 'HHN', 'HHE']",2010-12-14T06:14:49.420000Z,2.335,455.023726825,117682.961567,amplitude
20101214T091159Z,2C.BB01.,"['HHZ', 'HHN', 'HHE']",2010-12-14T09:08:50.530000Z,2739.07,746.530548727,193389587.519,amplitude
20101214T124825Z,2C.BB01.,"['HHZ', 'HHN', 'HHE']",2010-12-14T12:47:20.795000Z,355.33,29245.2018566,50198282311.7,amplitude
20101214T234318Z,2C.BB01.,"['HHZ', 'HHN', 'HHE']",2010-12-14T23:41:31.595000Z,253.135,544.205066938,9498796.50838,amplitude
20101214T014041Z,2C.BB03.,"['HHZ', 'HHN', 'HHE']",2010-12-14T01:40:26.215000Z,46.985,565.830086612,1762568.38098,amplitude
20101214T014729Z,2C.BB03.,"['HHZ', 'HHN', 'HHE']",2010-12-14T01:47:00.910000Z,29.485,365.306326041,410144.124383,amplitude
20101214T025140Z,2C.BB03.,"['HHZ', 'HHN', 'HHE']",2010-12-14T02:40:37.470000Z,26558.79,4001.95331145,58324203325.5,amplitude
20101214T124825Z,2C.BB03.,"['HHZ', 'HHN', 'HHE']",2010-12-14T12:51:04.840000Z,136.57,17289.3301815,11761988592.9,amplitude
20101214T124825Z,2C.BB04.,"['HHZ', 'HHN', 'HHE']",2010-12-14T12:51:27.465000Z,101.87,29723.3676052,17299147510.7,amplitude
20101214T003519Z,2C.BB06.,"['HHZ', 'HHN', 'HHE']",2010-12-14T00:33:26.790000Z,18894.48,6527.87564058,229636249476.0,amplitude
20101214T124825Z,2C.BB06.,"['HHZ', 'HHN', 'HHE']",2010-12-14T12:50:54.250000Z,171.62,11663.3700259,7343386100.93,amplitude
20101214T011140Z,2C.BB07.,"['HHZ', 'HHN', 'HHE']",2010-12-14T01:11:37.090000Z,1.79,368.443470047,81301.3965339,amplitude
20101214T025140Z,2C.BB07.,"['HHZ', 'HHN', 'HHE']",2010-12-14T02:51:37.615000Z,2.92,446.590769761,156466.100375,amplitude
20101214T033901Z,2C.BB07.,"['HHZ', 'HHN', 'HHE']",2010-12-14T03:38:57.520000Z,30.375,314.986167745,477653.273738,amplitude
20101214T043854Z,2C.BB07.,"['HHZ', 'HHN', 'HHE']",2010-12-14T04:38:51.375000Z,1.545,279.253621095,26746.719844,amplitude
20101214T055847Z,2C.BB07.,"['HHZ', 'HHN', 'HHE']",2010-12-14T05:54:27.620000Z,318.32,460.48404567,6407500.27414,amplitude
20101214T060906Z,2C.BB07.,"['HHZ', 'HHN', 'HHE']",2010-12-14T06:06:25.285000Z,503.58,498.646568754,11043767.3196,amplitude
20101214T091159Z,2C.BB07.,"['HHZ', 'HHN', 'HHE']",2010-12-14T09:21:30.585000Z,1338.145,734.489598862,81537309.1467,amplitude
20101214T124825Z,2C.BB07.,"['HHZ', 'HHN', 'HHE']",2010-12-14T12:48:28.415000Z,309.665,19076.2866695,24937389150.5,amplitude
20101214T003519Z,2C.BB08.,"['HHZ', 'HHN', 'HHE']",2010-12-14T00:35:22.680000Z,37.66,465.471182638,2081060.61401,amplitude
20101214T011140Z,2C.BB08.,"['HHZ', 'HHN', 'HHE']",2010-12-14T01:10:36.885000Z,62.485,659.980661837,2649603.14623,amplitude
20101214T020543Z,2C.BB08.,"['HHZ', 'HHN', 'HHE']",2010-12-14T02:05:40.470000Z,36.795,895.589934441,7847008.30338,amplitude
20101214T043854Z,2C.BB08.,"['HHZ', 'HHN', 'HHE']",2010-12-14T04:38:57.295000Z,13.485,437.404155464,328783.080358,amplitude
20101214T055847Z,2C.BB08.,"['HHZ', 'HHN', 'HHE']",2010-12-14T05:58:50.090000Z,1.9,294.152606955,41566.9584998,amplitude
20101214T091159Z,2C.BB08.,"['HHZ', 'HHN', 'HHE']",2010-12-14T08:16:37.810000Z,9840.33,2183.96105646,3430678210.14,amplitude
20101214T124825Z,2C.BB08.,"['HHZ', 'HHN', 'HHE']",2010-12-14T12:49:22.805000Z,172.735,59652.9525144,221597384107.0,amplitude
20101214T014041Z,2C.BB10.,"['HHZ', 'HHN', 'HHE']",2010-12-14T01:40:44.285000Z,18.43,425.517191025,576707.371278,amplitude
20101214T014729Z,2C.BB10.,"['HHZ', 'HHN', 'HHE']",2010-12-14T01:46:35.745000Z,52.83,534.966370883,2653014.26172,amplitude
20101214T020543Z,2C.BB10.,"['HHZ', 'HHN', 'HHE']",2010-12-14T02:05:22.460000Z,105.875,459.584467126,2779472.482,amplitude
20101214T020933Z,2C.BB10.,"['HHZ', 'HHN', 'HHE']",2010-12-14T02:09:30.995000Z,52.91,373.304420188,1610374.34085,amplitude
20101214T025140Z,2C.BB10.,"['HHZ', 'HHN', 'HHE']",2010-12-14T02:53:12.810000Z,1.81,349.62101107,48153.3790164,amplitude
20101214T033901Z,2C.BB10.,"['HHZ', 'HHN', 'HHE']",2010-12-14T03:38:42.935000Z,140.215,504.450026086,4201508.45284,amplitude
20101214T043854Z,2C.BB10.,"['HHZ', 'HHN', 'HHE']",2010-12-14T04:38:53.570000Z,2.41,349.676537091,92648.4374157,amplitude
20101214T091159Z,2C.BB10.,"['HHZ', 'HHN', 'HHE']",2010-12-14T09:40:37.060000Z,167.485,572.764794425,9830942.12783,amplitude
20101214T124825Z,2C.BB10.,"['HHZ', 'HHN', 'HHE']",2010-12-14T12:51:02.870000Z,136.95,24824.8795447,35162389184.3,amplitude
20101214T203741Z,2C.BB10.,"['HHZ', 'HHN', 'HHE']",2010-12-14T20:37:44.630000Z,47.07,341.53125748,903728.449848,amplitude
20101214T204853Z,2C.BB10.,"['HHZ', 'HHN', 'HHE']",2010-12-14T20:48:50.480000Z,50.17,546.14606017,1389232.65783,amplitude
20101214T221320Z,2C.BB10.,"['HHZ', 'HHN', 'HHE']",2010-12-14T22:12:36.285000Z,41.87,305.24819141,473831.567867,amplitude
20101214T234318Z,2C.BB10.,"['HHZ', 'HHN', 'HHE']",2010-12-14T23:43:15.550000Z,1.25,193.804303935,11518.884097,amplitude
20101214T060906Z,2C.BB11.,"['HHZ', 'HHN', 'HHE']",2010-12-14T06:03:15.050000Z,11892.985,7685.75437611,1063896107.92,amplitude
20101214T124825Z,2C.BB11.,"['HHZ', 'HHN', 'HHE']",2010-12-14T12:50:33.135000Z,149.44,23770.6101132,15413358016.8,amplitude
20101214T003519Z,2C.BB12.,"['HHZ', 'HHN', 'HHE']",2010-12-14T00:35:05.245000Z,26.245,417.492366706,1163247.03204,amplitude
20101214T011140Z,2C.BB12.,"['HHZ', 'HHN', 'HHE']",2010-12-14T01:11:15.840000Z,26.145,370.350611462,612943.31091,amplitude
20101214T014041Z,2C.BB12.,"['HHZ', 'HHN', 'HHE']",2010-12-14T01:40:05.800000Z,179.78,541.809204994,6796037.61144,amplitude
20101214T014729Z,2C.BB12.,"['HHZ', 'HHN', 'HHE']",2010-12-14T01:47:32.330000Z,2.135,446.200742205,137449.659151,amplitude
20101214T020543Z,2C.BB12.,"['HHZ', 'HHN', 'HHE']",2010-12-14T02:05:00.205000Z,129.185,431.240151062,3106566.82303,amplitude
20101214T020933Z,2C.BB12.,"['HHZ', 'HHN', 'HHE']",2010-12-14T02:09:05.460000Z,78.3,548.234066762,2384208.26585,amplitude
20101214T025140Z,2C.BB12.,"['HHZ', 'HHN', 'HHE']",2010-12-14T02:51:38.875000Z,99.985,550.280341977,2430910.81099,amplitude
20101214T033901Z,2C.BB12.,"['HHZ', 'HHN', 'HHE']",2010-12-14T03:39:04.215000Z,5609.97,1190.17882845,832961618.649,amplitude
20101214T124825Z,2C.BB12.,"['HHZ', 'HHN', 'HHE']",2010-12-14T12:50:01.850000Z,176.89,61941.0519255,112020925091.0,amplitude
