event_id,station,components,time,duration,amplitude,energy,signal_type
20101214T125006Z,2C.BB01.,"['HHZ', 'HHN', 'HHE']",2010-12-14T12:50:30.555000Z,61.275,18750.5050777,10372554095.1,amplitude
20101214T014042Z,2C.BB03.,"['HHZ', 'HHN', 'HHE']",2010-12-14T01:40:26.215000Z,46.985,565.830086612,1762568.38098,amplitude
20101214T125006Z,2C.BB03.,"['HHZ', 'HHN', 'HHE']",2010-12-14T12:51:04.840000Z,108.185,18205.114324,8664014911.0,amplitude
20101214T125006Z,2C.BB04.,"['HHZ', 'HHN', 'HHE']",2010-12-14T12:51:27.515000Z,34.49,23169.4575672,6719816669.26,amplitude
20101214T125006Z,2C.BB06.,"['HHZ', 'HHN', 'HHE']",2010-12-14T12:50:54.250000Z,137.855,12813.681746,6106472083.89,amplitude
20101214T125006Z,2C.BB07.,"['HHZ', 'HHN', 'HHE']",2010-12-14T12:50:42.845000Z,135.18,14420.4059289,8490065353.7,amplitude
20101214T125006Z,2C.BB08.,"['HHZ', 'HHN', 'HHE']",2010-12-14T12:49:35.340000Z,141.7,53948.8315079,184372278285.0,amplitude
20101214T014042Z,2C.BB10.,"['HHZ', 'HHN', 'HHE']",2010-12-14T01:40:44.285000Z,18.43,425.517191025,576707.371278,amplitude
20101214T125006Z,2C.BB10.,"['HHZ', 'HHN', 'HHE']",2010-12-14T12:51:02.870000Z,103.745,28511.5808315,27769971161.5,amplitude
20101214T125006Z,2C.BB11.,"['HHZ', 'HHN', 'HHE']",2010-12-14T12:50:33.760000Z,50.185,18624.9270968,6712145519.59,amplitude
20101214T014042Z,2C.BB12.,"['HHZ', 'HHN', 'HHE']",2010-12-14T01:40:39.830000Z,2.545,369.135619005,97422.4113203,amplitude
20101214T125006Z,2C.BB12.,"['HHZ', 'HHN', 'HHE']",2010-12-14T12:50:19.095000Z,57.315,57143.7383871,58394203977.7,amplitude
20101214T125006Z,2C.BB13.,"['HHZ', 'HHN', 'HHE']",2010-12-14T12:49:48.390000Z,138.28,44463.5835335,104933069934.0,amplitude
20101214T125006Z,2C.BB14.,"['HHZ', 'HHN', 'HHE']",2010-12-14T12:51:22.685000Z,97.2,13072.7365011,3113485641.12,amplitude
20101214T125006Z,2C.BB15.,"['HHZ', 'HHN', 'HHE']",2010-12-14T12:50:38.200000Z,49.085,25740.4737236,12531298697.0,amplitude
20101214T125006Z,2C.BB16.,"['HHZ', 'HHN', 'HHE']",2010-12-14T12:50:09.675000Z,116.545,37974.3398199,42980403619.8,amplitude
20101214T125006Z,2C.BB17.,"['HHZ', 'HHN', 'HHE']",2010-12-14T12:50:30.945000Z,115.015,24732.3574793,16443846572.2,amplitude
20101215T012640Z,2C.BB01.,"['HHZ', 'HHN', 'HHE']",2010-12-15T01:26:20.160000Z,56.615,2470.63261048,67684848.9234,amplitude
20101215T114128Z,2C.BB01.,"['HHZ', 'HHN', 'HHE']",2010-12-15T11:41:31.170000Z,1.74,424.730734345,81696.8016084,amplitude
20101215T115125Z,2C.BB01.,"['HHZ', 'HHN', 'HHE']",2010-12-15T11:51:28.790000Z,66.145,1310.69124164,10510055.837,amplitude
20101215T133724Z,2C.BB01.,"['HHZ', 'HHN', 'HHE']",2010-12-15T13:36:21.000000Z,237.465,64627.0740569,214959718507.0,amplitude
20101215T022914Z,2C.BB03.,"['HHZ', 'HHN', 'HHE']",2010-12-15T02:28:54.480000Z,30.395,311.052768661,391185.277385,amplitude
20101215T133724Z,2C.BB03.,"['HHZ', 'HHN', 'HHE']",2010-12-15T13:38:22.785000Z,118.665,50886.049631,95896157481.1,amplitude
20101215T133724Z,2C.BB04.,"['HHZ', 'HHN', 'HHE']",2010-12-15T13:39:03.415000Z,35.075,97530.3633599,127084069794.0,amplitude
20101215T134517Z,2C.BB04.,"['HHZ', 'HHN', 'HHE']",2010-12-15T13:45:10.900000Z,20.95,13040.3387981,546206079.511,amplitude
20101215T125812Z,2C.BB06.,"['HHZ', 'HHN', 'HHE']",2010-12-15T12:58:04.680000Z,7.005,301.914647989,238142.309305,amplitude
20101215T133724Z,2C.BB06.,"['HHZ', 'HHN', 'HHE']",2010-12-15T13:38:29.610000Z,129.82,30601.0012294,38427698961.3,amplitude
20101215T114128Z,2C.BB07.,"['HHZ', 'HHN', 'HHE']",2010-12-15T11:41:31.740000Z,34.815,965.713157703,1738067.57302,amplitude
20101215T115125Z,2C.BB07.,"['HHZ', 'HHN', 'HHE']",2010-12-15T11:51:29.605000Z,71.375,1405.35769373,10592738.9704,amplitude
20101215T125812Z,2C.BB07.,"['HHZ', 'HHN', 'HHE']",2010-12-15T12:58:14.320000Z,7.225,324.108420204,193697.964085,amplitude
20101215T133724Z,2C.BB07.,"['HHZ', 'HHN', 'HHE']",2010-12-15T13:38:05.995000Z,140.13,36826.3163433,70393187637.1,amplitude
20101215T161239Z,2C.BB07.,"['HHZ', 'HHN', 'HHE']",2010-12-15T16:12:21.215000Z,24.16,736.62309283,2485654.594,amplitude
20101215T174315Z,2C.BB07.,"['HHZ', 'HHN', 'HHE']",2010-12-15T17:42:14.205000Z,58.425,567.972308527,2793030.09621,amplitude
20101215T175909Z,2C.BB07.,"['HHZ', 'HHN', 'HHE']",2010-12-15T17:58:28.855000Z,76.115,868.735742299,12048770.8741,amplitude
20101215T180633Z,2C.BB07.,"['HHZ', 'HHN', 'HHE']",2010-12-15T18:06:07.310000Z,132.92,936.916385649,17019532.5867,amplitude
20101215T182938Z,2C.BB07.,"['HHZ', 'HHN', 'HHE']",2010-12-15T18:29:32.250000Z,7.785,773.589892038,1256316.83796,amplitude
20101215T185217Z,2C.BB07.,"['HHZ', 'HHN', 'HHE']",2010-12-15T18:52:19.405000Z,6.65,597.285186126,560241.803251,amplitude
20101215T185949Z,2C.BB07.,"['HHZ', 'HHN', 'HHE']",2010-12-15T18:59:19.505000Z,44.205,683.433072304,3325710.22116,amplitude
20101215T191555Z,2C.BB07.,"['HHZ', 'HHN', 'HHE']",2010-12-15T19:14:24.450000Z,93.735,800.758732963,8447022.61465,amplitude
20101215T194958Z,2C.BB07.,"['HHZ', 'HHN', 'HHE']",2010-12-15T19:49:58.550000Z,7.1,742.972461168,1539916.66333,amplitude
20101215T022914Z,2C.BB08.,"['HHZ', 'HHN', 'HHE']",2010-12-15T02:29:17.900000Z,2.07,458.542816766,68015.5659252,amplitude
20101215T133724Z,2C.BB08.,"['HHZ', 'HHN', 'HHE']",2010-12-15T13:36:53.670000Z,163.435,112480.256788,650596387279.0,amplitude
20101215T114128Z,2C.BB10.,"['HHZ', 'HHN', 'HHE']",2010-12-15T11:41:30.465000Z,91.065,721.883342507,4469135.30397,amplitude
20101215T115125Z,2C.BB10.,"['HHZ', 'HHN', 'HHE']",2010-12-15T11:51:27.080000Z,96.695,1055.42242508,17055769.5338,amplitude
20101215T125812Z,2C.BB10.,"['HHZ', 'HHN', 'HHE']",2010-12-15T12:58:15.410000Z,11.71,491.786021759,624844.606446,amplitude
20101215T133724Z,2C.BB10.,"['HHZ', 'HHN', 'HHE']",2010-12-15T13:38:40.185000Z,97.885,64798.9774226,174825892265.0,amplitude
20101215T134517Z,2C.BB10.,"['HHZ', 'HHN', 'HHE']",2010-12-15T13:45:09.120000Z,21.165,14837.8679491,729170954.482,amplitude
20101215T161239Z,2C.BB10.,"['HHZ', 'HHN', 'HHE']",2010-12-15T16:12:42.615000Z,1.95,281.771187506,54541.7573793,amplitude
20101215T185217Z,2C.BB10.,"['HHZ', 'HHN', 'HHE']",2010-12-15T18:52:12.155000Z,7.56,419.721269757,577181.556022,amplitude
20101215T133724Z,2C.BB11.,"['HHZ', 'HHN', 'HHE']",2010-12-15T13:37:59.020000Z,67.685,42002.3717453,41396899160.2,amplitude
20101215T022914Z,2C.BB12.,"['HHZ', 'HHN', 'HHE']",2010-12-15T02:28:24.535000Z,52.91,815.414803507,4467730.47899,amplitude
20101215T115125Z,2C.BB12.,"['HHZ', 'HHN', 'HHE']",2010-12-15T11:51:26.475000Z,70.4,1374.25181154,17530866.9093,amplitude
20101215T133724Z,2C.BB12.,"['HHZ', 'HHN', 'HHE']",2010-12-15T13:37:27.435000Z,90.49,128525.064021,319440275440.0,amplitude
20101215T161239Z,2C.BB12.,"['HHZ', 'HHN', 'HHE']",2010-12-15T16:12:27.245000Z,25.325,757.704429698,2123470.56428,amplitude
20101215T174315Z,2C.BB12.,"['HHZ', 'HHN', 'HHE']",2010-12-15T17:43:17.970000Z,17.58,745.869677633,2086422.60527,amplitude
20101215T175909Z,2C.BB12.,"['HHZ', 'HHN', 'HHE']",2010-12-15T17:59:00.595000Z,34.935,768.962291813,4179682.09649,amplitude
20101215T182938Z,2C.BB12.,"['HHZ', 'HHN', 'HHE']",2010-12-15T18:29:26.550000Z,12.255,722.576945504,2289093.44346,amplitude
20101215T185217Z,2C.BB12.,"['HHZ', 'HHN', 'HHE']",2010-12-15T18:52:15.055000Z,18.235,743.144521501,3043554.21711,amplitude
20101215T185949Z,2C.BB12.,"['HHZ', 'HHN', 'HHE']",2010-12-15T18:59:37.635000Z,12.79,644.825250306,1649469.67791,amplitude
20101215T190903Z,2C.BB12.,"['HHZ', 'HHN', 'HHE']",2010-12-15T19:08:47.095000Z,23.015,871.04725567,4545643.28035,amplitude
20101215T191555Z,2C.BB12.,"['HHZ', 'HHN', 'HHE']",2010-12-15T19:15:52.540000Z,24.145,798.59534841,2542183.35409,amplitude
20101215T194958Z,2C.BB12.,"['HHZ', 'HHN', 'HHE']",2010-12-15T19:50:01.375000Z,1.645,491.907996386,69379.3418272,amplitude
