event_id,station,components,time,duration,amplitude,energy,signal_type
20101214T091159Z,2C.BB01.,"['HHZ', 'HHN', 'HHE']",2010-12-14T09:08:50.535000Z,2739.07,746.531310742,193390283.838,amplitude
20101214T124825Z,2C.BB01.,"['HHZ', 'HHN', 'HHE']",2010-12-14T12:47:20.800000Z,355.33,29245.1717993,50198107446.5,amplitude
20101214T033907Z,2C.BB03.,"['HHZ', 'HHN', 'HHE']",2010-12-14T02:40:37.475000Z,26558.79,4001.95415297,58324153681.4,amplitude
20101214T124825Z,2C.BB03.,"['HHZ', 'HHN', 'HHE']",2010-12-14T12:51:07.100000Z,134.315,17104.4663341,11483111838.6,amplitude
20101214T124825Z,2C.BB04.,"['HHZ', 'HHN', 'HHE']",2010-12-14T12:51:27.470000Z,101.87,29723.5961704,17299846891.4,amplitude
20101214T003519Z,2C.BB06.,"['HHZ', 'HHN', 'HHE']",2010-12-14T00:33:26.800000Z,18894.485,6527.88099587,229636007018.0,amplitude
20101214T124825Z,2C.BB06.,"['HHZ', 'HHN', 'HHE']",2010-12-14T12:51:05.705000Z,160.175,12291.1376595,6378284462.3,amplitude
20101214T033907Z,2C.BB07.,"['HHZ', 'HHN', 'HHE']",2010-12-14T03:53:17.465000Z,3780.52,674.757566309,113057759.718,amplitude
20101214T091159Z,2C.BB07.,"['HHZ', 'HHN', 'HHE']",2010-12-14T09:21:30.600000Z,1338.14,734.495173588,81535781.9495,amplitude
20101214T124825Z,2C.BB07.,"['HHZ', 'HHN', 'HHE']",2010-12-14T12:48:28.420000Z,309.665,19076.2616624,24937283322.8,amplitude
20101214T003519Z,2C.BB08.,"['HHZ', 'HHN', 'HHE']",2010-12-14T00:35:22.690000Z,37.66,465.251767929,2081551.07976,amplitude
20101214T020553Z,2C.BB08.,"['HHZ', 'HHN', 'HHE']",2010-12-14T02:05:44.190000Z,33.08,933.284063151,6475200.73046,amplitude
20101214T033907Z,2C.BB08.,"['HHZ', 'HHN', 'HHE']",2010-12-14T03:48:46.475000Z,4425.81,873.043688026,187285977.764,amplitude
20101214T091159Z,2C.BB08.,"['HHZ', 'HHN', 'HHE']",2010-12-14T08:16:37.815000Z,9840.33,2183.9608561,3430677260.29,amplitude
20101214T124825Z,2C.BB08.,"['HHZ', 'HHN', 'HHE']",2010-12-14T12:49:22.810000Z,172.735,59652.8097674,221595312092.0,amplitude
20101214T022049Z,2C.BB10.,"['HHZ', 'HHN', 'HHE']",2010-12-14T02:20:52.805000Z,19.435,481.482663631,962566.349754,amplitude
20101214T033907Z,2C.BB10.,"['HHZ', 'HHN', 'HHE']",2010-12-14T03:38:42.940000Z,3613.045,513.829046055,57494609.0094,amplitude
20101214T091159Z,2C.BB10.,"['HHZ', 'HHN', 'HHE']",2010-12-14T09:40:37.065000Z,167.49,572.806576892,9832248.19001,amplitude
20101214T124825Z,2C.BB10.,"['HHZ', 'HHN', 'HHE']",2010-12-14T12:51:04.090000Z,135.735,25036.9100716,34474539875.9,amplitude
