event_id,stations,network_time,ref_time,signal_type,feature_0,feature_1a,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_10,feature_11,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_24,feature_25,feature_27,feature_28,feature_29,feature_30,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_68,feature_70,feature_71
20101214T003519Z,"['2C.BB06.', '2C.BB12.', '2C.BB08.']",5.865946803,2010-12-14T00:35:19.747027Z,amplitude,1.520045407,-0.060895598,0.011695205,0.040610856,0.730911133,-0.250544611,-0.120569833,-0.263782168,-0.155039868,-0.505835902,-0.507976455,0.023059722,-0.139407778,-0.388197381,-0.247822663,-0.220668963,-0.69755956,-0.100902015,-0.150805976,0.153790158,-0.014154621,-0.474169307,-0.353354348,-0.18092698,-0.852218445,-0.237089928,0.084773942,-0.355195483,0.16452278,-0.28903703,-0.138035957,0.096809563,0.278385675,0.100611365,-0.527307996,-0.913187407,-2.096251461
20101214T011140Z,"['2C.BB08.', '2C.BB12.', '2C.BB07.']",5.865946803,2010-12-14T01:11:40.022973Z,amplitude,2.28006811,-1.03454694,1.399833337,1.501974272,-2.049938871,-0.265754194,-0.547708124,-0.22756539,-0.452454229,-0.529441677,-0.531819791,-0.152572829,-0.399906937,-0.672804169,-0.587817314,-0.459201343,-0.187695882,0.060750174,0.121343953,0.015711239,-0.01396852,-0.755270108,-0.535009571,-0.38991988,-0.694298915,-0.222678552,-0.087346192,-0.540963572,-0.765988211,-0.244516976,-0.575872265,0.318740324,-0.772338478,0.321442021,-0.597927947,-0.723938938,-1.235592118
20101214T014041Z,"['2C.BB12.', '2C.BB03.', '2C.BB10.']",5.865946803,2010-12-14T01:40:41.352026Z,amplitude,1.013363604,0.172383261,-0.205320514,-0.236906655,0.454594172,-0.212081394,-0.104562596,-0.283005727,-0.167804516,0.116900744,0.116877376,0.020119874,-0.289120413,-0.609247778,-0.97971533,-0.105532418,-0.524118407,0.092157585,-0.147295043,0.291908775,0.121036607,-0.398065856,-0.277484584,0.015684264,-0.297634624,0.219637018,-0.166891886,-0.280647341,-0.01445027,0.160718573,0.23949282,1.308273609,0.47178538,1.307468706,-1.494860676,0.193736585,-1.444951328
20101214T014729Z,"['2C.BB10.', '2C.BB03.', '2C.BB12.']",5.865946803,2010-12-14T01:47:29.397027Z,amplitude,0.506681802,-0.958227531,0.781048318,0.731889708,0.401273889,-0.247945221,-0.402940188,-0.22492344,-0.339384912,0.410490268,0.40996276,-0.355112443,-0.348239227,-0.848938506,-0.517624311,-0.788739,-0.315189863,-0.446625387,0.170375511,0.075832507,-0.103559601,-0.651150388,-0.61082665,-0.215904807,0.36865996,-0.145543501,-0.427123814,-0.612717415,-0.309263925,-0.123639304,-0.062407317,0.669074217,0.265889602,0.666855612,0.244701435,0.079892173,-0.899124126
20101214T020543Z,"['2C.BB12.', '2C.BB10.', '2C.BB08.', '2C.BB14.']",5.865946803,2010-12-14T02:05:43.402974Z,amplitude,2.28006811,0.767261805,-0.806154257,-0.702720154,1.11348373,-0.267572773,-0.184843542,-0.331818684,-0.245920629,1.021100588,1.018450958,0.221632338,0.157721911,0.222268359,-0.392969119,-0.175796796,0.034552668,-0.13559299,-0.091213467,0.836835132,0.307936031,-0.280924257,0.159847966,-0.267414691,-0.026974711,-0.09910745,0.380836107,0.155277767,-0.161468844,0.310995397,0.348883044,1.287149936,0.138201317,1.287625288,-1.298278543,0.025420269,-1.374500516
20101214T020933Z,"['2C.BB14.', '2C.BB12.', '2C.BB10.']",5.865946803,2010-12-14T02:09:33.927973Z,amplitude,0.506681802,0.531274052,-0.718265854,-0.682126136,0.923329831,0.021954785,0.065905174,0.01097376,0.076607437,0,0,0.048724706,-0.065818044,-0.118190312,-0.337674892,-0.383814464,-0.259112074,0.217066839,0.133683626,0.588895762,0.644776984,-0.417616857,-0.086715093,-0.139401637,-0.058411415,0.01934936,0.090258033,-0.086192477,-0.365478783,-0.042210776,0.134552747,0.95486586,0.372088978,0.953876973,-0.310207192,0.417935207,-1.959941627
20101214T025140Z,"['2C.BB03.', '2C.BB12.', '2C.BB07.', '2C.BB10.']",5.865946803,2010-12-14T02:51:40.547973Z,amplitude,0.506681802,0.813057316,-0.475389402,-0.403544918,1.47752915,-0.168521878,-0.157783552,-0.21839103,-0.155023209,-0.148261168,-0.148442768,0.140959119,0.153161388,0.326077327,-0.1188161,-0.122955091,1.207514057,0.134824748,-0.014413274,0.720463888,0.403301701,-0.218940726,0.137059919,-0.105208698,0.021395931,0.001588932,0.254619875,0.134005461,-0.264166747,0.338710936,0.261426739,-0.237376641,-0.451076777,-0.237439924,1.220803431,-0.717743448,0.216997571
20101214T033901Z,"['2C.BB10.', '2C.BB07.', '2C.BB12.']",5.865946803,2010-12-14T03:39:01.282027Z,amplitude,-0.506681802,0.762502322,1.324064018,1.329425665,0.142500583,-0.678150879,-0.709658682,-0.659596269,-0.692668776,0.838144175,0.836220155,0.021499608,-0.047027158,0.123565538,-0.833802635,-0.502708994,-0.100084534,-0.052875367,-0.1706428,0.866903981,0.464901215,-0.402162276,0.137182589,-0.24485992,0.489764251,0.1508681,0.32857297,0.134490168,-0.103861666,0.119309633,0.015293424,-0.106994123,-1.294536748,-0.102973854,-0.812343689,-0.165294653,-2.141505541
20101214T043854Z,"['2C.BB07.', '2C.BB10.', '2C.BB08.']",5.865946803,2010-12-14T04:38:54.362027Z,amplitude,-0.506681802,-1.119141987,0.226314611,0.439432627,-1.335510036,-0.184786231,-0.164645648,-0.063453272,-0.183738847,-0.397984052,-0.399239272,-2.784061093,-1.555260631,-1.726766626,-0.659183494,-0.923188885,1.177041795,-0.049497936,0.202994913,-1.239641064,-0.011669601,-1.339533348,-1.611539537,0.13907149,0.19245718,-0.243668524,-0.681509861,-1.59872686,-2.090983901,-1.950215329,-1.939520713,-0.293507186,-0.374699394,-0.292029297,1.676369603,-0.221764377,0.666925635
20101214T055847Z,"['2C.BB07.', '2C.BB13.', '2C.BB08.']",5.865946803,2010-12-14T05:58:47.157027Z,amplitude,-0.506681802,-0.507904532,-0.12480575,0.036693553,2.062715369,0.399533893,0.248236844,0.355306166,0.259092438,-0.641549177,-0.645310172,0.014137992,-0.240328326,-0.652103436,-0.445246972,-0.715757454,0.878692696,0.817796781,0.231321019,0.242242581,1.174559888,-0.904701324,-0.428074024,-0.120299532,0.320736644,0.241698306,0.239268554,-0.431333925,-0.78001142,-0.890957449,-0.889005338,-0.394444981,-1.420173484,-0.389716362,-1.066644407,0.135078791,-1.560976941
20101214T060906Z,"['2C.BB11.', '2C.BB07.', '2C.BB13.', '2C.BB01.']",5.865946803,2010-12-14T06:09:06.942027Z,amplitude,-0.253340901,1.400009771,-0.293872368,-0.152368085,-1.049646578,-0.031098724,0.017787424,-0.070932175,-0.000322608,1.011839834,1.00922812,0.423573571,0.260624614,0.605825521,-0.304580255,-0.438159296,1.722177586,0.816669543,-0.002320024,1.520400287,1.551010817,-0.14457772,0.61475087,0.081964165,0.22257502,0.17147964,0.530564424,0.616304769,0.422997351,0.24383436,0.256587335,-0.526217438,-1.162595535,-0.523569801,-1.607277269,0.289207066,-2.497948374
20101214T091159Z,"['2C.BB08.', '2C.BB01.', '2C.BB13.', '2C.BB07.', '2C.BB10.']",5.865946803,2010-12-14T09:11:59.222027Z,amplitude,0,2.326470922,-0.134339096,-0.33732715,0.837219237,0.87253308,0.804321782,0.968896787,0.918644532,2.521621086,2.512165809,0.748528156,0.878209527,1.678925692,0.394983651,0.181304544,2.52987857,-0.058443372,-0.191899591,1.780726282,0.593584019,0.619515708,1.595849886,-0.333707289,0.519063195,0.040377461,1.291448462,1.625651701,1.249079113,1.074321654,1.318072278,0.091434108,-1.588424973,0.097182243,1.095545884,0.374707064,0.1859013
20101214T124825Z,"['2C.BB13.', '2C.BB01.', '2C.BB07.', '2C.BB08.', '2C.BB16.', '2C.BB12.', '2C.BB17.', '2C.BB11.', '2C.BB15.', '2C.BB06.', '2C.BB10.', '2C.BB03.', '2C.BB14.', '2C.BB04.']",5.865946803,2010-12-14T12:48:25.482027Z,amplitude,2.28006811,1.333765951,-0.193600248,-0.168680609,-0.094644835,1.520859841,1.239095717,1.627025379,1.330482751,1.452600774,1.448090481,1.843345274,3.13161759,1.172134711,2.086955062,0.773437309,0.469482249,0.809784093,3.759664327,0.902487681,1.715999,2.934481564,2.412514554,-0.685608482,-1.014177092,-1.21194759,1.318108352,2.499043907,0.31767026,0.170286376,0.198220298,-1.437707,0.306927081,-1.446420932,2.345990864,0.471095559,0.689843053
20101214T203741Z,"['2C.BB15.', '2C.BB17.', '2C.BB10.']",5.865946803,2010-12-14T20:37:41.697027Z,amplitude,0.506681802,0.53277088,0.508278676,0.445378816,0.865520581,-0.153915735,-0.146618329,-0.157766226,-0.129292155,1.198005788,1.194612844,0.765227402,1.086959911,0.634452288,0.625518027,0.277949712,0.539582614,1.203256614,0.205328682,0.998342934,0.681707096,0.494023257,0.736853606,-0.215787817,0.359978794,-0.136071235,0.571587786,0.741170479,0.364645324,0.023741819,0.150055,0.584817773,0.002049369,0.587296234,-0.646344731,0.469003984,-1.086553522
20101214T204853Z,"['2C.BB17.', '2C.BB15.', '2C.BB10.']",5.865946803,2010-12-14T20:48:53.412973Z,amplitude,1.520045407,0.507936503,-1.319433382,-1.155674739,2.963495274,0.07459286,0.015911217,0.165644814,0.057887484,1.455598527,1.451074832,0.765227402,1.046543136,0.57452184,0.625518027,0.238850713,-0.266877074,1.203256614,0.961727588,0.992898785,1.014953586,0.840516995,1.005209929,0.196646274,-0.199401157,-0.136071235,0.78997462,1.008819038,0.489797053,0.1110592,0.265231761,0.109969612,0.193119124,0.107971613,-0.118119958,0.413032109,-1.086553522
20101214T221320Z,"['2C.BB15.', '2C.BB10.', '2C.BB16.']",5.865946803,2010-12-14T22:13:20.002027Z,amplitude,2.28006811,-1.265819018,-0.175839736,-0.108757022,-1.198954962,0.088521873,0.17634408,0.038020003,0.147071518,0.461287541,0.460625786,0.308494729,0.154907962,-0.173887229,0.015938685,-0.365646896,-0.472718602,1.089731352,1.233567492,0.685700378,1.201618553,-0.526736187,-0.03589788,-0.150907973,0.351276957,0.239623967,0.27651519,-0.03917937,-0.070329171,-0.402552029,0.11050602,0.63367844,0.212752417,0.632781989,-1.315752636,-0.923074757,-1.2806026
20101214T234318Z,"['2C.BB15.', '2C.BB01.', '2C.BB10.']",5.865946803,2010-12-14T23:43:18.482974Z,amplitude,-0.506681802,-1.200712322,-0.258838208,-0.242050094,2.056916959,-0.003446498,0.013081202,-0.025610242,0.007243005,-0.825873218,-0.833061632,0.524536928,0.144998212,0.141794943,-0.121096027,-0.048219041,1.083123007,1.57288073,0.57424952,1.014998362,0.522587325,-0.185264487,0.34054077,-0.012454485,-1.169185532,0.3543083,0.238681324,0.339561702,0.799547528,0.150693207,0.518536129,0.130554847,-0.236339982,0.130502253,1.806541036,-0.066791538,0.48789639
